"STDR_DE","EMD_ID","CNT","CNT_00H","CNT_01H","CNT_02H","CNT_03H","CNT_04H","CNT_05H","CNT_06H","CNT_07H","CNT_08H","CNT_09H","CNT_10H","CNT_11H","CNT_12H","CNT_13H","CNT_14H","CNT_15H","CNT_16H","CNT_17H","CNT_18H","CNT_19H","CNT_20H","CNT_21H","CNT_22H","CNT_23H"
"20240515","1124069","17468","98","33","15","6","31","281","414","534","844","1063","1115","1090","1204","1233","1090","1175","1244","1263","1133","874","932","841","655","300"
"20240515","1124071","12855","79","21","4","8","15","209","256","324","591","925","906","946","1081","937","836","781","834","777","693","628","652","606","454","292"
"20240515","1102065","4514","42","5","19","10","9","57","82","106","143","157","232","279","326","315","311","311","296","303","326","294","249","276","228","138"
"20240515","1102067","3159","29","7","3","1","23","55","83","84","132","184","222","248","233","235","237","174","220","207","150","177","144","142","110","59"
"20240515","1102070","2396","24","18","4","12","10","52","63","73","116","188","189","177","188","188","163","142","146","129","117","109","91","93","66","38"
"20240515","1102072","1835","19","3","1","3","3","24","33","47","86","89","95","104","138","105","101","119","107","113","115","147","128","105","82","68"
"20240515","1102073","6050","22","4","2","6","3","124","156","175","318","484","434","404","410","412","406","374","327","390","332","361","317","246","245","98"
"20240515","1103051","3903","1","0","0","0","0","54","103","165","226","302","314","349","401","289","273","262","229","222","194","173","129","97","84","36"
"20240515","1103053","25390","82","24","10","16","60","267","556","643","938","1440","1509","1574","1800","1751","1774","1695","1671","1764","1780","1391","1473","1429","1152","591"
"20240515","1103057","3498","4","0","0","0","4","68","91","124","194","232","316","292","272","260","298","248","213","250","171","108","105","135","74","39"
"20240515","1103058","8546","6","2","0","2","11","134","186","266","473","646","667","690","668","742","729","534","616","470","460","331","347","251","194","121"
"20240515","1103059","2301","3","1","2","1","3","35","46","72","85","144","201","175","183","183","186","144","163","138","148","112","101","85","60","30"
"20240515","1103063","3651","13","0","0","0","3","37","61","85","126","238","287","319","315","265","239","253","277","250","219","183","212","128","109","32"
"20240515","1115051","39603","146","22","13","9","35","467","631","893","1492","2051","2197","2312","2533","2835","2762","2791","2867","2861","2547","2389","2768","2343","1992","647"
"20240515","1115052","17000","12","6","1","1","22","449","520","734","1155","1465","1641","1504","1601","1356","1054","941","935","858","713","584","553","465","274","156"
"20240515","1115053","12827","33","7","3","5","33","258","387","468","786","1129","1093","1072","1123","1031","902","782","707","723","568","470","434","383","310","120"
"20240515","1115054","5986","29","5","1","5","33","97","184","225","346","499","511","541","530","408","357","373","339","353","292","237","239","169","141","72"
"20240515","1115057","2967","9","0","0","0","35","98","127","142","220","252","233","240","217","205","152","176","154","198","157","111","99","78","46","18"
"20240515","1115059","2108","7","0","0","0","48","73","78","113","148","169","138","163","127","149","133","92","115","109","131","96","67","69","57","26"
"20240515","1115061","2518","10","0","0","0","31","58","75","139","183","229","186","217","202","154","174","113","138","124","141","92","95","87","46","24"
"20240515","1115062","3236","4","1","0","0","31","97","100","156","257","283","254","269","253","253","157","169","174","179","173","116","135","73","77","25"
"20240515","1124075","12547","11","5","7","4","8","135","258","383","651","925","995","1054","1011","1021","934","853","1011","795","609","520","437","434","327","159"
"20240515","1124079","19692","43","11","13","12","39","214","359","530","792","1172","1379","1391","1456","1446","1524","1229","1322","1344","1157","991","1008","1027","875","358"
"20240515","1124081","18292","20","13","9","3","90","281","449","476","785","1103","1080","1272","1292","1266","1298","1271","1408","1489","1310","1040","1014","782","435","106"
"20240515","1125053","10245","30","8","2","4","8","156","304","437","673","846","836","865","725","747","673","584","558","553","470","391","360","619","286","110"
"20240515","1125054","9119","12","3","0","0","9","109","285","292","492","617","626","727","705","682","682","587","671","557","466","414","300","393","396","94"
"20240515","1125056","3484","8","9","5","6","36","57","95","95","170","269","282","302","292","238","216","233","311","247","172","145","104","88","73","31"
"20240515","1125059","2287","2","0","1","0","11","57","62","99","125","216","188","258","261","210","140","135","124","106","102","63","45","49","21","12"
"20240515","1103064","1896","4","1","0","0","8","36","57","68","121","138","151","156","135","156","147","117","129","121","87","77","77","57","34","19"
"20240515","1103065","15783","64","18","27","22","253","1148","630","321","346","517","528","627","714","898","947","1016","1087","1102","1059","972","1084","1092","871","440"
"20240515","1103069","5121","12","0","1","6","10","65","160","159","255","361","424","441","477","387","369","328","320","374","292","201","178","152","108","41"
"20240515","1103070","2849","9","2","0","0","12","47","66","106","180","212","243","235","216","218","217","177","149","160","175","122","119","101","63","20"
"20240515","1103071","4881","15","6","3","5","11","49","129","165","246","304","370","369","343","339","281","317","301","316","274","299","225","240","191","83"
"20240515","1103072","5519","18","1","2","0","8","51","107","147","270","349","450","415","455","437","388","374","327","383","355","266","234","230","184","68"
"20240515","1103073","74894","296","52","27","22","64","498","677","983","1655","2558","3059","3978","4257","4713","4914","5784","6976","6739","5774","4996","5657","5985","3569","1661"
"20240515","1104052","12151","40","12","9","11","21","171","335","417","664","937","1028","946","990","971","835","754","740","718","568","708","456","412","292","116"
"20240515","1104055","10953","40","11","4","3","17","160","226","241","404","497","556","639","778","729","781","728","802","872","814","621","590","528","529","383"
"20240515","1104057","8375","7","0","0","0","32","188","287","335","556","753","762","722","695","572","545","460","506","456","376","331","302","218","207","65"
"20240515","1115063","3854","11","2","2","1","60","152","152","188","310","338","342","275","262","255","190","184","240","187","162","160","176","112","64","29"
"20240515","1115065","2043","3","1","0","0","6","22","40","83","77","134","155","157","145","145","131","152","111","134","123","115","102","83","97","27"
"20240515","1115071","9961","29","0","0","0","4","95","138","235","374","515","669","728","883","821","737","666","719","654","577","438","435","411","652","181"
"20240515","1116051","8310","51","12","4","5","4","86","163","227","322","432","490","563","632","557","561","541","553","582","571","478","467","472","344","193"
"20240515","1116052","7788","44","4","4","2","13","96","184","252","402","576","553","607","605","609","542","515","478","510","473","379","267","317","243","113"
"20240515","1125061","9796","8","0","4","2","14","244","269","412","624","762","820","777","818","751","619","599","614","576","461","443","352","321","240","66"
"20240515","1125063","3428","34","8","18","5","61","111","90","114","173","203","234","245","281","273","184","206","209","187","153","134","154","145","150","56"
"20240515","1125065","9009","17","1","0","0","3","146","259","339","553","802","752","679","742","682","592","538","549","553","457","347","331","296","255","116"
"20240515","1125071","9973","14","1","0","0","10","160","248","340","510","763","804","788","924","838","814","719","663","542","432","366","354","322","264","97"
"20240515","1125072","1976","19","1","0","3","0","1","50","86","99","164","156","138","150","141","154","106","146","116","128","105","79","71","42","21"
"20240515","1125074","12319","35","12","12","3","63","289","393","485","706","878","916","911","1046","954","841","760","753","700","654","509","472","406","348","173"
"20240515","11250760","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20240515","1104062","10167","5","0","0","0","18","159","260","385","674","827","919","833","841","780","693","661","591","584","498","436","349","327","247","80"
"20240515","1104065","8517","12","0","0","0","17","74","132","162","250","369","389","500","609","711","784","678","828","686","603","512","462","420","254","65"
"20240515","1104066","16334","34","13","7","3","18","122","235","267","383","470","518","588","865","1135","1319","1351","1482","1591","1387","1351","1296","1080","560","259"
"20240515","1104067","4374","16","0","5","4","38","107","154","206","270","370","316","314","266","277","247","307","221","295","244","228","216","137","96","40"
"20240515","1104069","2083","0","0","0","0","6","45","72","87","137","152","179","153","155","159","141","138","141","132","95","94","69","64","37","27"
"20240515","1104071","5484","34","4","0","2","19","98","143","169","241","310","378","354","375","362","313","347","332","349","308","388","307","300","218","133"
"20240515","1104072","3222","0","0","0","0","4","46","86","91","174","221","240","290","300","217","283","199","176","202","176","131","133","120","96","37"
"20240515","1104073","11164","5","0","0","0","6","151","236","325","590","738","947","980","1038","934","818","740","685","767","603","427","453","375","247","99"
"20240515","1116053","4555","17","6","3","6","42","94","116","168","260","321","320","363","386","348","305","271","270","291","264","200","177","156","112","59"
"20240515","1116057","3282","1","0","0","0","26","94","104","159","201","271","307","313","350","265","183","202","163","178","118","101","108","63","58","17"
"20240515","1116059","3553","9","2","2","1","20","81","114","143","213","254","228","315","306","283","260","190","185","176","192","160","152","105","107","55"
"20240515","1116061","8935","45","5","4","7","79","180","226","310","483","652","648","659","672","667","564","497","538","571","456","376","404","406","316","170"
"20240515","1116065","1254","12","0","0","0","6","20","24","36","62","74","111","106","112","84","74","86","72","108","69","53","61","28","31","25"
"20240515","1116066","1164","5","0","0","0","4","36","45","55","72","98","107","98","88","117","85","60","56","50","51","52","33","21","15","16"
